Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Axis Intelligence - Label,Axis Intelligence - Points,PCWorld - Label,PCWorld - Points,Security.org - Label,Security.org - Points,ZDNET - Label,ZDNET - Points,Why Picked
Keeper,Best Overall,79.99,5.5,4,Security-first users,1.0,Most security-minded,1.5,Best Password Security,1.5,Best for Security,1.5,Highest weighted score (5.5 pts from 4 source(s)).
1Password,Best Canadian Option,,5.0,3,Families & teams,1.5,,,Best Analytics,1.5,Best Overall,2.0,Made/assembled in Canada.
Bitwarden,Best For Specific Use Case,27.2,4.5,3,Best free option,2.0,Best free password manager,1.5,Honorable Mention,1.0,,,Top for 'Best free password manager' (4.5 pts from 3 source(s)).
Dashlane,,,4.5,3,All-in-one security,1.0,Best password manager overall,2.0,Best for Families,1.5,,,
NordPass,,,4.5,3,Everyday users,1.5,Best value,1.5,Best Value,1.5,,,
RoboForm,,39.99,3.0,2,Form-filling power users,1.0,,,Best for Passwordless Logins,2.0,,,
Proton Pass,,,3.0,2,Privacy-focused users,1.5,,,Best Privacy Features,1.5,,,
LastPass,,49.99,2.0,2,Legacy users,1.0,,,Honorable Mention,1.0,,,
KeePass,,,1.5,1,,,Best password manager for total control,1.5,,,,,
LogMeOnce,,,1.5,1,,,Best for alternate login methods,1.5,,,,,
Bitdefender SecurePass,,,1.0,1,Antivirus bundle users,1.0,,,,,,,
Enpass,,,1.0,1,Offline-first users,1.0,,,,,,,
Google Password Manager,,,1.0,1,Chrome-primary users,1.0,,,,,,,
PassDefence,,3.99,0,0,,,,,,,,,
Password Sentry,Best Upgrade,99.95,0,0,,,,,,,,,Highest score above $50 (0 pts from 0 source(s)).
1Password,,,0,0,,,,,,,,,
Injector,,,0,0,,,,,,,,,
Stash Password Manager,,,0,0,,,,,,,,,
