Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,ELLE - Label,ELLE - Points,Forbes Vetted - Label,Forbes Vetted - Points,Good Housekeeping - Label,Good Housekeeping - Points,Wareable - Label,Wareable - Points,Why Picked
Omnilux Contour Face Mask,Best Overall,535.0,6.5,4,Best Breathable,1.5,Best Silicone LED Face Mask,1.5,Best FDA-approved,1.5,Overall best red light therapy mask for results at home,2.0,Highest weighted score (6.5 pts from 4 source(s)).
Dr. Dennis Gross SpectraLite FaceWare Pro,Best For Specific Use Case,615.0,5.0,3,Best Fast-Acting,1.5,Best LED Face Mask Overall,2.0,Best for Sensitive Skin,1.5,,,Top for 'Best for Sensitive Skin' (5.0 pts from 3 source(s)).
CurrentBody Skin LED Light Therapy Mask Series 2,Best Upgrade,925.37,5.0,3,Best Overall,2.0,"Best Silicone LED Face Mask, Runner-Up",1.5,Best for Anti-Aging,1.5,,,Highest score above $300 (5.0 pts from 3 source(s)).
HigherDOSE Red Light Face Mask,,379.0,4.5,3,Best Cordless,1.5,Best LED Face Mask For Comfort,1.5,Best Portable,1.5,,,
Therabody TheraFace Glo Mask,,449.99,3.5,2,,,Best LED Face Mask For Skincare Multitasking,1.5,Best Overall,2.0,,,
Shark CryoGlow Red & Blue Infrared iQLED Face Mask,,499.99,3.0,2,Best Cooling,1.5,,,Best with Cooling,1.5,,,
LightStim for Wrinkles,,249.0,1.5,1,,,,,Best for Wrinkles,1.5,,,
Mirabella Phototherapy 7-Color LED Facial Mask with Near-Infrared,,262.68,1.5,1,,,,,Best Value,1.5,,,
Dr. Dennis Gross DRx SpectraLite EyeCare Max Pro,,269.0,1.5,1,,,,,Best for the Eye Area,1.5,,,
Solawave Wrinkle Retreat Light Therapy Face Mask,,319.2,1.5,1,,,Best Flexible LED Face Mask,1.5,,,,,
Vellgus Red Light Mini,Best Canadian Option,339.0,1.5,1,,,,,,,Highly convenient at-home red light therapy device,1.5,Made/assembled in Canada.
Solawave Skincare Wand,,380.7,1.5,1,,,,,,,Best red light therapy wand for easy use,1.5,
Qure Q-Rejuvalight Pro Red Light Mask,,399.0,1.5,1,Best Multi-Beneficial,1.5,,,,,,,
Omnilux Clear,,400.0,1.5,1,,,,,Best for Acne,1.5,,,
Infraredi LED Light Therapy Mask,,449.0,1.5,1,,,,,,,"Best red light therapy mask for multiple skin concerns, including acne",1.5,
The Light Salon Boost LED Mask,,655.0,1.5,1,,,,,Best for Hydration,1.5,,,
Monastery Deep Red LED Mask,,700.0,1.5,1,Best Burgundy LED,1.5,,,,,,,
ATaPa Athena,,780.0,1.5,1,,,,,,,Best red light therapy device to target deeper tissue concerns,1.5,
MM Skincare MMSphere Luxe,,795.0,1.5,1,Best Contact-Free,1.5,,,,,,,
Déesse Pro LED Phototherapy Mask,,1999.0,1.5,1,Best Splurge,1.5,,,,,,,
CurrentBody LED Neck & Décolletage Perfector,,,1.5,1,,,Best LED Mask For Neck And Chest,1.5,,,,,
iRestore Illumina Face Mask,,699.99,1.0,1,,,You May Also Like,1.0,,,,,
LumaLux LED Mask,,929.0,0,0,,,,,,,,,
