Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CTV News - Label,CTV News - Points,MadeInCA - Label,MadeInCA - Points,RTINGS - Label,RTINGS - Points,Reviewed Canada - Label,Reviewed Canada - Points,TechGearLab - Label,TechGearLab - Points,Why Picked
Levoit LV600S Smart Hybrid Ultrasonic Humidifier,Best Overall,116.0,4.5,3,,,Best smart humidifier in Canada,1.5,Best Mid-Range Humidifier,1.5,,,Best for Large Rooms,1.5,Highest weighted score (4.5 pts from 3 source(s)).
Dreo HM311S 4L Smart Humidifier,Best Canadian Option,129.99,4.0,3,Runner-Up Pick,1.5,Best bedroom humidifier in Canada,1.5,,,,,#6 Ranked,1.0,Canadian-owned brand.
Levoit OasisMist 450S Smart Humidifier,,95.0,3.5,2,Upgrade Pick,1.5,,,,,,,Best Overall Humidifier,2.0,
Vicks Warm Mist Humidifier V745,Best Budget,55.97,3.0,2,,,,,,,Best Overall,2.0,#8 Ranked,1.0,Highest score under $60 (3.0 pts from 2 source(s)).
Levoit Classic300S Ultrasonic Smart Humidifier,Best For Specific Use Case,79.99,3.0,2,,,,,Best Budget Humidifier,1.5,,,Best for Convenience,1.5,Top for 'Best for Convenience' (3.0 pts from 2 source(s)).
Crane Drop Ultrasonic Humidifier,,104.0,2.5,2,Kids Pick,1.5,,,,,,,#13 Ranked,1.0,
Crane Droplet Ultrasonic Humidifier,,,2.5,2,,,,,Best Cheap Humidifier,1.5,#4 Ranked,1.0,,,
Honeywell MistMate Ultrasonic Cool Mist Humidifier HUL520,,,2.5,2,Budget Pick,1.5,,,,,#7 Ranked,1.0,,,
Pure Enrichment MistAire Ultrasonic Cool Mist Humidifier,,64.98,2.0,2,,,,,,,#5 Ranked,1.0,#14 Ranked,1.0,
Levoit 2.5L Bedroom Ultrasonic Humidifier,,33.99,2.0,1,,,Best overall humidifier in Canada,2.0,,,,,,,
Levoit Classic200 4L Ultrasonic Humidifier,,53.0,2.0,1,Top Pick,2.0,,,,,,,,,
Carepod One Humidifier,Best Upgrade,275.0,2.0,1,,,,,Best Humidifier,2.0,,,,,Highest score above $120 (2.0 pts from 1 source(s)).
Rosekm 2.0L Bedroom Ultrasonic Humidifier,,43.99,1.5,1,,,Best cool mist humidifier in Canada,1.5,,,,,,,
Pharata 2.5L Cool Mist Humidifier,,67.98,1.5,1,,,Best quiet humidifier in Canada,1.5,,,,,,,
TaoTronics TT-AH001 Ultrasonic Humidifier,,69.99,1.5,1,,,,,,,Best Cool Mister,1.5,,,
Blueair InvisibleMist H35i Humidifier,,199.99,1.5,1,,,,,,,,,Best Value for Constant Use,1.5,
Dreo HM311 Humidifier,,,1.5,1,,,,,,,,,Best Value for Occasional Use,1.5,
Honeywell Warm Moisture Humidifier HWM705B,,,1.5,1,,,,,,,#3 Ranked,1.5,,,
Levoit Dual150 Ultrasonic Cool Mist Humidifier,,37.0,1.0,1,,,,,,,,,#9 Ranked,1.0,
PureGuardian Ultrasonic Cool Mist Humidifier H920BL,,44.99,1.0,1,,,,,,,#9 Ranked,1.0,,,
Safety 1st IH304 Ultrasonic Humidifier,,59.99,1.0,1,,,,,,,#8 Ranked,1.0,,,
Movtip Portable Mini Humidifier,,64.44,1.0,1,,,,,,,,,#12 Ranked,1.0,
Raydrop Cool Mist Ultrasonic Humidifier,,79.99,1.0,1,,,,,,,,,#10 Ranked,1.0,
Vicks Warm Mist Humidifier V3900,,85.96,1.0,1,,,,,Notable Mention,1.0,,,,,
Vornado EVDC300 Evaporative Humidifier,,87.99,1.0,1,,,,,Notable Mention,1.0,,,,,
Homvana Cool Mist Humidifier H101,,99.98,1.0,1,,,,,,,,,#7 Ranked,1.0,
AquaOasis Cool Mist Humidifier 2.2L,,150.29,1.0,1,,,,,,,,,#11 Ranked,1.0,
Honeywell Cool Mist Humidifier HCM-350,,10005.0,1.0,1,,,,,,,#6 Ranked,1.0,,,
Honeywell Warm Mist Humidifier HUL430B,,,1.0,1,,,,,Notable Mention,1.0,,,,,
IER Electric Steam Humidifier,,,0,0,,,,,,,,,,,
PX Series Passive Fuel Cell Humidifier,,,0,0,,,,,,,,,,,
