Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Business Insider - Label,Business Insider - Points,CNN - Label,CNN - Points,Consumer Reports - Label,Consumer Reports - Points,Good Housekeeping - Label,Good Housekeeping - Points,NYMag - Label,NYMag - Points,Outdoor Life - Label,Outdoor Life - Points,Reviewed - Label,Reviewed - Points,The Spruce - Label,The Spruce - Points,WIRED - Label,WIRED - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Thermacell E55 E-Series Rechargeable Mosquito Repeller,Best Overall,69.98,6.0,4,,,strong_pick,1.5,,,Best No-Contact Repellant,1.5,,,,,Mentioned,1.0,,,,,Best Overall,2.0,Highest weighted score (6.0 pts from 4 source(s)).
OFF! Deep Woods Insect Repellent (Aerosol),Best Budget,12.98,3.5,2,Best Overall,2.0,,,,,Best with DEET,1.5,,,,,,,,,,,,,Highest score under $45 (3.5 pts from 2 source(s)).
Zevo On Body Mosquito & Tick Repellent Pump Spray,,35.89,3.5,2,,,,,Runner-up,1.5,Best Overall,2.0,,,,,,,,,,,,,
Lemongrass Farms TREK Insect Repellent Spray,Best For Specific Use Case,11.06,3.0,2,,,,,,,Best Plant-Based,1.5,,,Best for Skin,1.5,,,,,,,,,Top for 'Best for Skin' (3.0 pts from 2 source(s)).
Ben's Tick & Insect Repellent Wipes,,12.5,3.0,2,,,,,,,Best Wipes,1.5,,,,,,,,,Best Wipes,1.5,,,
Sawyer Picaridin Insect Repellent Spray,,14.99,3.0,2,Best DEET Alternative,1.5,,,,,Best Picaridin-Based,1.5,,,,,,,,,,,,,
Thermacell MR450 Armored Portable Mosquito Repeller,,49.99,3.0,2,,,,,,,,,,,Best Portable Device,1.5,,,,,,,Runner-up,1.5,
Katchy Indoor Insect Trap,,70.0,3.0,2,,,,,,,,,,,Best Indoor,1.5,,,Best Indoor,1.5,,,,,
Thermacell LIV Smart Mosquito Repellent System,,,3.0,2,,,,,,,,,Top Pick,2.0,,,Mentioned,1.0,,,,,,,
Coleman SkinSmart Insect Repellent,,5.99,2.0,1,,,,,,,,,,,Best Overall,2.0,,,,,,,,,
Thermacell EL55 Rechargeable Mosquito Repeller & Glow Light,,86.98,2.0,1,,,Top Pick,2.0,,,,,,,,,,,,,,,,,
Flowtron Electronic Insect Zapper,Best Upgrade,199.99,2.0,1,,,,,,,,,,,,,,,Best Overall and Best Zapper,2.0,,,,,Highest score above $130 (2.0 pts from 1 source(s)).
Cutter Backwoods Dry Insect Repellent,,6.98,1.5,1,,,,,,,,,,,,,,,,,Best Spray,1.5,,,
Cutter All Family Insect Repellent (IR3535),,7.97,1.5,1,,,,,Runner-up,1.5,,,,,,,,,,,,,,,
Pic’s Mosquito Repelling Coils,,7.99,1.5,1,,,,,,,,,,,,,,,,,,,Budget Pick,1.5,
Garsum Houseplant Sticky Traps,,10.99,1.5,1,,,,,,,,,,,,,,,Best Budget,1.5,,,,,
OFF! Kids Insect Repellent Spray,,11.48,1.5,1,,,,,Runner-up,1.5,,,,,,,,,,,,,,,
Proven Insect Repellent Lotion,,11.98,1.5,1,,,,,,,,,,,,,,,,,Best Lotion,1.5,,,
