Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Esquire - Label,Esquire - Points,GQ - Label,GQ - Points,InStyle - Label,InStyle - Points,The Quality Edit - Label,The Quality Edit - Points,Vogue Scandinavia - Label,Vogue Scandinavia - Points,Why Picked
Reebok Club C 85 Vintage,Best Overall,69.99,6.0,4,Best affordable white sneakers,1.5,Best Retro White Sneaker,1.5,Best Retro,1.5,Best Retro Sneaker,1.5,,,Highest weighted score (6.0 pts from 4 source(s)).
Thousand Fell Lace Up,,,3.5,2,,,,,Best Sustainable,1.5,Best Sustainable Sneaker,2.0,,,
Salomon XT-6,Best For Specific Use Case,188.0,3.0,2,Best White Trail Sneaker,1.5,Best Outdoors-Ready White Sneaker,1.5,,,,,,,Top for 'Best Outdoors-Ready White Sneaker' (3.0 pts from 2 source(s)).
Converse Chuck 70 Canvas High-Top Sneakers,Best Budget,66.0,2.0,1,,,Best White Sneaker Overall,2.0,,,,,,,Highest score under $100 (2.0 pts from 1 source(s)).
New Balance 740,,144.99,2.0,1,,,,,Best Overall,2.0,,,,,
Common Projects BBall Slim Sneakers,,225.0,2.0,1,"The Be-All, End-All White Sneaker",2.0,,,,,,,,,
Vans Old Skool Platform,,49.94,1.5,1,,,,,,,,,Best white platform sneakers,1.5,
Champion Originals Leather Lace-Up,,54.95,1.5,1,,,,,,,,,Best low-profile white sneakers,1.5,
Puma Speedcat,,65.0,1.5,1,The Sneaker Everyone's Talking About,1.5,,,,,,,,,
Onitsuka Tiger Mexico 66,,69.0,1.5,1,,,,,,,,,Best white leather sneakers,1.5,
Vans Authentic,,69.99,1.5,1,Best Classic White Sneakers,1.5,,,,,,,,,
Cariuma OCA Low,,70.17,1.5,1,,,,,Best Vintage-Inspired Style,1.5,,,,,
Nike Cortez Leather,,89.0,1.5,1,,,Best White Sneaker for Nike Fiends,1.5,,,,,,,
APL Techloom Pro,,90.0,1.5,1,,,,,,,Best Sporty Sneaker,1.5,,,
Converse Chuck Taylor All Star Lift Platform,,90.0,1.5,1,,,,,Best High-Top,1.5,,,,,
Converse Run Star Hike,,90.0,1.5,1,,,,,,,Best High-Top,1.5,,,
Vans Premium Slip-On 98,,95.0,1.5,1,,,Best Slip-On White Sneaker,1.5,,,,,,,
Dr. Scholl's Time Off Platform Sneaker,,99.99,1.5,1,,,,,Best for Travel,1.5,,,,,
Moonstar Deck Shoe,,105.0,1.5,1,,,Best White Sneaker for Menswear Nerds,1.5,,,,,,,
Nike Zoom Vomero 5,,105.0,1.5,1,Our Favorite White Travel Sneaker,1.5,,,,,,,,,
Veja Esplar Leather,Best Canadian Option,110.99,1.5,1,,,,,,,Best Leather Sneaker,1.5,,,Canadian-owned brand.
New Balance 530,,129.99,1.5,1,,,,,,,,,Best affordable white sneakers,1.5,
Adidas Stan Smith,,130.0,1.5,1,,,,,,,,,Best white leather sneakers,1.5,
Adidas Samba LT,,138.99,1.5,1,,,Best White Sneaker for Adidas Stans,1.5,,,,,,,
Everlane The Court Sneaker,,148.0,1.5,1,,,,,Best for Work,1.5,,,,,
New Balance 550,,149.99,1.5,1,,,,,Best Casual,1.5,,,,,
Nike Air Force 1 '07,,150.0,1.5,1,,,,,,,Best Classic Sneaker,1.5,,,
Adidas Gazelle Bold,,160.0,1.5,1,,,,,Best Trendy,1.5,,,,,
Nike Air Max 90,,170.0,1.5,1,,,,,Best Sporty,1.5,,,,,
Oliver Cabell Low 1,,179.99,1.5,1,,,,,,,Best Elevated Sneaker,1.5,,,
Adidas Adizero Evo SL,,180.0,1.5,1,,,,,Best for Running,1.5,,,,,
On Cloud 6,,180.0,1.5,1,,,,,Most Comfortable,1.5,,,,,
On The Roger Advantage,,189.63,1.5,1,Best White Tennis Shoes,1.5,,,,,,,,,
New Balance 9060,,195.0,1.5,1,Best Chunky White Sneaker,1.5,,,,,,,,,
Hoka One One Bondi 9,,199.99,1.5,1,,,,,Best for Walking,1.5,,,,,
Oliver Cabell GAT,,199.99,1.5,1,A Solid German Army Trainer,1.5,,,,,,,,,
ASICS Gel-Kayano 14,,210.0,1.5,1,,,,,,,,,Best affordable white sneakers,1.5,
Veja V-12,,222.0,1.5,1,Best Everyday White Sneaker,1.5,,,,,,,,,
Koio Capri Triple White,,288.64,1.5,1,Most comfortable white sneakers,1.5,,,,,,,,,
Reproduction of Found German Military Trainers,,307.0,1.5,1,,,Best Upgrade White Sneaker,1.5,,,,,,,
Converse Chuck Taylor First String,,321.0,1.5,1,Runner-up,1.5,,,,,,,,,
Axel Arigato Slow Runner,,385.0,1.5,1,A Bit of a White Sneaker Swerve,1.5,,,,,,,,,
Maison Margiela Replica Sneakers,,840.0,1.5,1,,,Best White Sneaker for Fashion Guys,1.5,,,,,,,
Miu Miu Suede Sneakers,Best Upgrade,1420.0,1.5,1,,,,,Best Splurge,1.5,,,,,Highest score above $250 (1.5 pts from 1 source(s)).
Prada Aged-Effect Leather Sneakers,,,1.5,1,Runner-up,1.5,,,,,,,,,
Jefferson Water Friendly Perforated Sneaker in White,,80.0,0,0,,,,,,,,,,,
Suitsneaker - Low top sneaker,,99.0,0,0,,,,,,,,,,,
Women's Low-Top Sneaker - White,,199.98,0,0,,,,,,,,,,,
Men's Everyday - Cloud White,,,0,0,,,,,,,,,,,
Mornetty White Leather,,,0,0,,,,,,,,,,,
