Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,GearJunkie - Label,GearJunkie - Points,Outdoor Gear Lab - Label,Outdoor Gear Lab - Points,Reviewed Canada - Label,Reviewed Canada - Points,The Strategist - Label,The Strategist - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Purist Mover Water Bottle,Best Overall,15.57,4.0,3,Mentioned,1.0,Best for Discerning Palates,1.5,,,,,Runner-up,1.5,Highest weighted score (4.0 pts from 3 source(s)).
Owala FreeSip Vacuum Water Bottle,Best Budget,24.8,4.0,3,Mentioned,1.0,,,,,Best water bottle with straw and sip lid,1.5,Runner-up,1.5,Highest score under $25 (4.0 pts from 3 source(s)).
Brita Premium Filtering Water Bottle (BB11),Best For Specific Use Case,29.93,3.5,2,,,Favorite For Travel,1.5,Best Overall,2.0,,,,,Top for 'Favorite For Travel' (3.5 pts from 2 source(s)).
YETI Rambler Chug Water Bottle,,42.0,3.0,2,Most Durable Insulated Water Bottle,1.5,,,Best for the Outdoors,1.5,,,,,
LifeStraw Go Water Bottle,Best Upgrade,69.95,3.0,2,Best Insulated Filter Water Bottle,1.5,,,,,Best water bottle for backpacking,1.5,,,Highest score above $45 (3.0 pts from 2 source(s)).
Klean Kanteen TK Wide Insulated Bottle with Twist Cap,,94.0,2.5,2,Mentioned,1.0,,,,,,,Runner-up,1.5,
Hydro Flask Wide Mouth Bottle,,53.95,2.0,1,Best Overall Insulated Water Bottle,2.0,,,,,,,,,
Hydro Flask Wide Mouth with Straw Bottle,,59.95,2.0,1,,,Best Overall Bottle,2.0,,,,,,,
Hydro Flask Standard Mouth Bottle,,71.95,2.0,1,,,,,,,Best water bottle overall,2.0,,,
Hydro Flask Wide Mouth with Flex Chug Cap Bottle,,74.2,2.0,1,,,,,,,,,Best Overall,2.0,
CamelBak Eddy Water Bottle (0.75 L),,10.88,1.5,1,,,,,Runner-up,1.5,,,,,
Specialized The Purist Water Bottle,,16.99,1.5,1,,,,,,,Best water bottle for biking,1.5,,,
Nalgene Wide Mouth Ultralite Bottle,,19.95,1.5,1,,,,,,,Best lightweight water bottle,1.5,,,
Thermos Funtainer Water Bottle,,24.99,1.5,1,,,,,,,Best less expensive water bottle for kids,1.5,,,
Takeya Actives Water Bottle with Spout Lid,,27.99,1.5,1,,,,,,,,,Runner-up,1.5,
Nathan QuickSqueeze Lite Insulated Handheld Water Bottle,,30.0,1.5,1,,,,,,,Best water bottle for running,1.5,,,
HydroJug Traveler Water Bottle,,35.0,1.5,1,,,,,,,Best large water bottle,1.5,,,
Stanley Quencher H2.0 Flowstate Tumbler,,35.98,1.5,1,Best Insulated Water Bottle for Driving,1.5,,,,,,,,,
YETI Rambler Jr. Kids Water Bottle,,38.0,1.5,1,,,,,,,Best water bottle for kids,1.5,,,
Speedfil Speedflask,,39.95,1.5,1,,,Favorite For Cyclists,1.5,,,,,,,
Iron Flask Insulated Water Bottle,,40.65,1.5,1,,,Best Bang for the Buck,1.5,,,,,,,
Frank Green Ceramic Reusable Bottle,,45.0,1.5,1,,,,,,,Best customizable water bottle,1.5,,,
Hydro Flask 32 oz Wide Mouth Bottle,,46.24,1.5,1,,,,,Runner-up,1.5,,,,,
Bivo Trio Insulated Water Bottle,,58.0,1.5,1,Best Insulated Sports Water Bottle,1.5,,,,,,,,,
RTIC Vacuum Insulated Bottle,,80.5,1.5,1,Best Budget Insulated Water Bottle,1.5,,,,,,,,,
Klean Kanteen TK Wide Insulated Bottle with Loop Cap,,94.0,1.5,1,,,,,Runner-up,1.5,,,,,
SilverAnt Ultralight Titanium Water Bottle,,109.99,1.5,1,,,,,,,Best titanium water bottle,1.5,,,
Zojirushi Stainless Steel Mug,,,1.5,1,,,,,,,Best vacuum-insulated water bottle,1.5,,,
CamelBak Eddy+ Stainless Steel Water Bottle (0.75 L),,10.88,1.0,1,Mentioned,1.0,,,,,,,,,
Thermos Intak Hydration Bottle with Rotating Intake Meter,,11.16,1.0,1,,,,,Mentioned,1.0,,,,,
Vapur Element 1L Wide Mouth Anti-Bottle,,21.65,1.0,1,,,,,Mentioned,1.0,,,,,
Thermos Funtainer Water Bottle with Straw,,24.99,1.0,1,Mentioned,1.0,,,,,,,,,
Nalgene 48 oz Tritan Wide Mouth Silo,,25.95,1.0,1,,,,,Mentioned,1.0,,,,,
CamelBak Podium Big Chill Water Bottle,,28.99,1.0,1,Mentioned,1.0,,,,,,,,,
Stanley IceFlow Flip Straw Water Bottle,,33.99,1.0,1,Mentioned,1.0,,,,,,,,,
Hydro Flask Wide Mouth Travel Bottle,,35.97,1.0,1,Mentioned,1.0,,,,,,,,,
Lifefactory Water Bottle with Straw Cap and Silicone Sleeve,,37.68,1.0,1,,,,,Mentioned,1.0,,,,,
Hydro Flask Lightweight Wide Mouth Bottle,,39.95,1.0,1,Mentioned,1.0,,,,,,,,,
Brita Sport Filtering Water Bottle (20 oz),,39.99,1.0,1,,,,,Mentioned,1.0,,,,,
Memobottle A5 Flat Water Bottle,,45.0,1.0,1,,,,,Mentioned,1.0,,,,,
S'well 17 oz Vacuum Insulated Bottle,,45.0,1.0,1,,,,,Mentioned,1.0,,,,,
Klean Kanteen TKPro Insulated Bottle,,49.99,1.0,1,,,,,Mentioned,1.0,,,,,
MiiR Growler,,59.95,1.0,1,Mentioned,1.0,,,,,,,,,
CrazyCap Gen 2 Water Bottle,,69.99,1.0,1,,,,,Mentioned,1.0,,,,,
Takeya Classic Glass Water Bottle with Silicone Sleeve and Twist Cap,,,1.0,1,,,,,Mentioned,1.0,,,,,
Mammoth Mug 2.5L,Best Canadian Option,22.99,0,0,,,,,,,,,,,Canadian-owned brand (not reviewer-backed).
Smartbottle™ Large (1000ml) 2-Pack,,34.0,0,0,,,,,,,,,,,
"ALPINE Flip 'N Sip Insulated Water Bottle With Straw, 20oz",,34.99,0,0,,,,,,,,,,,
64 oz Push Bottle,,35.0,0,0,,,,,,,,,,,
16 oz Insulated Water Bottle,,39.0,0,0,,,,,,,,,,,
Brunswick Bottle – 709 mL,,40.0,0,0,,,,,,,,,,,
