Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CNN - Label,CNN - Points,Esquire - Label,Esquire - Points,GQ - Label,GQ - Points,Good Housekeeping - Label,Good Housekeeping - Points,Mens Health - Label,Mens Health - Points,NBC News - Label,NBC News - Points,NYMag - Label,NYMag - Points,Reviewed - Label,Reviewed - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Buck Mason Field-Spec Cotton Heavy Tee,,82.73,6.5,4,Best white T-shirt for men,2.0,,,Heavyweight White T-Shirt,1.5,Best Elevated,1.5,,,#3 Ranked,1.5,,,,,,,
Uniqlo Supima Cotton Crew Neck Short-Sleeve T-Shirt,,14.9,6.0,4,,,Best Basic White T-Shirt,1.5,,,,,,,#2 Ranked,1.5,Best less expensive lightweight white T-shirt,1.5,,,Best Slim Cut,1.5,
Everlane The Essential Organic Cotton Crew,,,5.0,4,Mentioned,1.0,,,,,Best Organic,1.5,Best Uniform,1.5,#6 Ranked,1.0,,,,,,,
Sunspel Classic T-Shirt,Best Overall,127.0,4.5,3,,,"High-End Cotton, Modern Shape",1.5,Classic T-Shirt,1.5,,,,,,,Best luxury white T-shirt,1.5,,,,,Highest weighted score (4.5 pts from 3 source(s)).
Uniqlo U Crew Neck T-Shirt,,29.9,4.0,3,Best budget white T-shirt for men,1.5,,,,,,,,,#16 Ranked,1.0,Best heavyweight white T-shirt,1.5,,,,,
Hanes Beefy-T Heavyweight Cotton T-Shirt (2-Pack),,,4.0,3,,,our editors' favorite cheap white t-shirt,1.5,,,Best Value,1.5,,,#10 Ranked,1.0,,,,,,,
Mack Weldon Pima Crew Neck T-Shirt,,,3.5,3,,,,,,,Best for Layering,1.5,,,#8 Ranked,1.0,,,Mentioned,1.0,,,
Madewell Garment-Dyed Allday Crewneck Tee,,35.0,3.5,2,,,,,,,Best Overall,2.0,Best Neckline,1.5,,,,,,,,,
J.Crew Broken-In Short-Sleeve White T-Shirt,,37.99,3.5,2,,,,,,,,,,,,,Best lightweight white T-shirt,1.5,,,Best Overall,2.0,
Buck Mason Slub Curved Hem Tee,,38.0,3.5,2,,,Best Curved-Hem T-Shirt,1.5,,,,,,,,,Best men’s white T-shirt overall,2.0,,,,,
Calvin Klein Cotton Stretch 3-Pack Crew Neck T-Shirts,,46.2,3.0,2,,,,,Comfortable Undershirt,1.5,,,Best With Stretch,1.5,,,,,,,,,
Reigning Champ Lightweight Jersey T-Shirt,Best Canadian Option,58.0,3.0,2,Mentioned,1.0,,,,,,,,,#1 Ranked,2.0,,,,,,,Made/assembled in Canada.
Old Navy Crew Neck T-Shirt,Best Budget,10.49,2.5,2,,,,,,,Softest,1.5,,,#19 Ranked,1.0,,,,,,,Highest score under $35 (2.5 pts from 2 source(s)).
Levi’s The Essential T-Shirt,,23.98,2.5,2,,,,,,,Best Basic,1.5,,,#13 Ranked,1.0,,,,,,,
Lady White Co. Our T-Shirt,,70.0,2.5,2,,,,,,,,,,,#7 Ranked,1.0,,,,,Best Splurge,1.5,
Alex Crane Sun Tee,Best Upgrade,95.0,2.5,2,Mentioned,1.0,,,,,,,,,,,Best linen white T-shirt,1.5,,,,,Highest score above $75 (2.5 pts from 2 source(s)).
Lady White Co. Our T-Shirt (2-Pack),,170.0,2.5,2,Mentioned,1.0,,,Editor-Favorite White T-Shirt,1.5,,,,,,,,,,,,,
Buck Mason Pima Classic Tee,,,2.5,2,,,,,,,,,Most Classic White T-Shirt,1.5,#18 Ranked,1.0,,,,,,,
Vuori Strato Tech Tee,,78.0,2.0,2,Mentioned,1.0,,,,,,,,,#21 Ranked,1.0,,,,,,,
Uniqlo AIRism Cotton T-Shirt,,19.9,2.0,1,,,,,,,,,Best Overall,2.0,,,,,,,,,
Everlane The Premium Weight Crew,,,2.0,1,,,,,,,,,,,,,,,Best Overall,2.0,,,
Gildan Softstyle Cotton T-Shirt,Best For Specific Use Case,3.88,1.5,1,,,Best White T-Shirt to Buy in Bulk,1.5,,,,,,,,,,,,,,,Top for 'Best White T-Shirt to Buy in Bulk' (1.5 pts from 1 source(s)).
Comfort Colors Short-Sleeve T-Shirt,,9.12,1.5,1,,,A Cult-Classic White T-Shirt,1.5,,,,,,,,,,,,,,,
Gildan Hammer Tee (2-Pack),,10.79,1.5,1,,,,,Cult-Classic White T-Shirt,1.5,,,,,,,,,,,,,
Uniqlo Dry Color T-Shirt,,14.9,1.5,1,,,,,Affordable White T-Shirt,1.5,,,,,,,,,,,,,
GAP Organic Pocket T-Shirt,,17.0,1.5,1,,,,,,,Best Pocket T-Shirt,1.5,,,,,,,,,,,
Uniqlo U AIRism Cotton Oversized Crew Neck Half-Sleeve T-Shirt,,19.9,1.5,1,,,,,,,Best Oversized,1.5,,,,,,,,,,,
Hanes ComfortFlex Fit Men’s White Modal Undershirt,,20.97,1.5,1,,,,,,,,,,,,,Best less expensive white T-shirt,1.5,,,,,
Bella+Canvas Unisex Jersey Tee,,21.38,1.5,1,,,,,,,,,,,,,,,,,Best Budget,1.5,
"Fruit of the Loom Dual Defense White Crew Neck Undershirts, 6-Pack",,21.97,1.5,1,,,,,,,,,,,,,,,Best Bulk Buy,1.5,,,
Goodfellow & Co Men’s Standard Fit Short Sleeve Lyndale Crew Neck,,23.83,1.5,1,,,,,,,,,,,,,,,Best Value,1.5,,,
Duluth Trading Co Longtail T Relaxed Fit Short Sleeve T-Shirt,,24.5,1.5,1,,,,,,,Best Relaxed,1.5,,,,,,,,,,,
Abercrombie & Fitch Essential Tee,,29.0,1.5,1,,,,,,,,,Best Longer Cut White T-Shirt,1.5,,,,,,,,,
Abercrombie Relaxed Essential Tee,,29.0,1.5,1,,,,,,,,,,,#4 Ranked,1.5,,,,,,,
Dickies Heavyweight Pocket Tee,,30.0,1.5,1,,,,,Pocket White T-Shirt,1.5,,,,,,,,,,,,,
Gap Original T-Shirt,,31.0,1.5,1,,,A Surprisingly Fashionable Tee,1.5,,,,,,,,,,,,,,,
Madewell Men’s Relaxed Tee,,39.5,1.5,1,,,,,,,,,,,,,Best mid-weight white T-shirt,1.5,,,,,
