Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CNET - Label,CNET - Points,CNN Underscored - Label,CNN Underscored - Points,Prevention - Label,Prevention - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Carex Health Brands Day-Light Classic Plus Bright Light Therapy Lamp,Best Overall,169.99,7.5,4,Our pick,2.0,Runner-up,1.5,Best Light Therapy Lamp Overall,2.0,Best Overall,2.0,Highest weighted score (7.5 pts from 4 source(s)).
Northern Light Technologies Boxelite Bright Light Therapy Light Box,Best Canadian Option,199.99,6.0,4,Also great,1.5,Runner-up,1.5,Best Portable Light Therapy Lamp,1.5,Also great,1.5,Made/assembled in Canada.
Verilux HappyLight VT43 Luxe,Best For Specific Use Case,99.99,4.5,3,Budget pick,1.5,,,Best Light Therapy Lamp for Moderate Symptoms,1.5,Budget pick,1.5,Top for 'Best Light Therapy Lamp for Moderate Symptoms' (4.5 pts from 3 source(s)).
Verilux HappyLight Liberty Light Therapy Energy Lamp,,209.0,2.0,1,,,Top Pick,2.0,,,,,
TaoTronics Light Therapy Lamp,Best Budget,19.99,1.5,1,,,Runner-up,1.5,,,,,Highest score under $50 (1.5 pts from 1 source(s)).
Verilux HappyLight Lumi VT31,,39.98,1.5,1,Best budget light therapy lamp,1.5,,,,,,,
Miroco Light Therapy Lamp,,45.0,1.5,1,,,Runner-up,1.5,,,,,
Circadian Optics Lumos 2.0 Light Therapy Lamp,,79.99,1.5,1,,,Runner-up,1.5,,,,,
TheraLite Aura Bright Light Therapy Lamp,,109.0,1.5,1,,,,,Best Budget-Friendly Light Therapy Lamp,1.5,,,
Lavish Home Sunlight Floor Lamp,,111.99,1.5,1,,,,,Best Floor Light Therapy Lamp,1.5,,,
TheraLite Radiance Light Therapy Lamp,,118.0,1.5,1,,,,,Best Multi-Tasking Light Therapy Lamp,1.5,,,
Carex Health Brands Day-Light Sky,,139.99,1.5,1,,,,,Best Light Therapy Lamp for Desk,1.5,,,
Northern Light Technologies Travelite (Beige),,170.0,1.5,1,,,Runner-up,1.5,,,,,
Philips SmartSleep Wake-Up Light Therapy Lamp,,179.99,1.5,1,,,Runner-up,1.5,,,,,
"Verilux HappyLight VT22 10,000-Lux Therapy Lamp",,209.0,1.5,1,,,Runner-up,1.5,,,,,
Verilux HappyLight Alba,,67.99,1.0,1,Also tested,1.0,,,,,,,
Rouge Nano Portable Red Light Therapy Panel,,304.0,0,0,,,,,,,,,
Kala Restore Wrap,,499.99,0,0,,,,,,,,,
