Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,rtings.com - Label,rtings.com - Points,Why Picked
Bosch 800 Series B36CT80SNS,Best Overall,4995.0,2.0,1,Best Refrigerator,2.0,Highest weighted score (2.0 pts from 1 source(s)).
GE GTS22KGNRWW,,799.99,1.5,1,Best Budget Refrigerator,1.5,
Bosch 500 Series B36FD52SNS,Best For Specific Use Case,3199.0,1.5,1,Best Upper Mid-Range Refrigerator,1.5,Top for 'Best Upper Mid-Range Refrigerator' (1.5 pts from 1 source(s)).
Frigidaire FFTR1425VW,,,1.5,1,Best Cheap Refrigerator,1.5,
Samsung Bespoke RF30BB6200QL,,,1.5,1,Best Mid-Range Refrigerator,1.5,
Samsung Bespoke RF24BB6600QL,Best Budget,2395.0,1.0,1,Notable Mention,1.0,Highest score under $2500 (1.0 pts from 1 source(s)).
Bosch 100 Series B36FD10ENS,,2599.0,1.0,1,Notable Mention,1.0,
GE Profile PGE29BYTFS,,3499.0,1.0,1,Notable Mention,1.0,
Café CGE29DP2TS1,,4139.0,1.0,1,Mentioned,1.0,
Maytag MRFF4236RZ,,,1.0,1,Notable Mention,1.0,
MFF179SSBM-RH 18 cu.ft. Stainless Steel Bottom Mount Frost Free Refrigerator (Right Hinge Set),Best Canadian Option,1199.0,0,0,,,Made/assembled in Canada (not reviewer-backed).
MFF208WFD 20.8 cu.ft. White French Door Bottom Mount Frost Free Refrigerator,,1499.0,0,0,,,
Danby Designer 4.4 cu. ft. Compact All Refrigerator (model DAR044A1BDD),,,0,0,,,
