Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Android Authority - Label,Android Authority - Points,NBC Select - Label,NBC Select - Points,The Independent - Label,The Independent - Points,Tom's Guide - Label,Tom's Guide - Points,Why Picked
Fitbit Charge 6,Best Overall,197.97,7.0,4,Best overall,2.0,Best for beginners,1.5,Best budget fitness tracker,1.5,Best fitness tracker overall,2.0,Highest weighted score (7.0 pts from 4 source(s)).
Garmin Vivoactive 6,,439.99,4.5,3,Honorable mention,1.0,Best overall,2.0,,,Best Garmin fitness tracker,1.5,
Garmin Forerunner 265,Best Upgrade,489.99,3.5,2,,,Best for runners,1.5,Best fitness tracker overall,2.0,,,Highest score above $300 (3.5 pts from 2 source(s)).
Amazfit Active 2,,139.87,3.0,2,,,Best budget,1.5,,,Best fitness tracker under $100,1.5,
Apple Watch SE 3,Best For Specific Use Case,329.0,3.0,2,,,Best for iPhone,1.5,,,Best Apple fitness tracker,1.5,Top for 'Best Apple fitness tracker' (3.0 pts from 2 source(s)).
Google Pixel Watch 4,,479.99,3.0,2,Best Fitbit smartwatch,1.5,Best for Android,1.5,,,,,
Whoop 5.0,,152.0,2.5,2,Honorable mention,1.0,,,Best screen-free fitness tracker,1.5,,,
Amazfit Band 7,,69.99,1.5,1,,,,,,,Best fitness tracker under $50,1.5,
Fitbit Inspire 3,Best Budget,99.95,1.5,1,,,,,,,Best cheap Fitbit fitness tracker,1.5,Highest score under $100 (1.5 pts from 1 source(s)).
Xiaomi Smart Band 10,,99.99,1.5,1,Best budget,1.5,,,,,,,
Amazfit Band 2,,189.99,1.5,1,,,,,Best multi-sport fitness tracker,1.5,,,
Coros Pace Pro,,299.0,1.5,1,,,,,Best fitness tracker for endurance athletes,1.5,,,
Samsung Galaxy Watch 8,,449.99,1.5,1,Best for Samsung,1.5,,,,,,,
Oura Ring 4,,469.99,1.5,1,,,Best smart ring,1.5,,,,,
Garmin Venu 3,,489.98,1.5,1,,,,,Best for all-around wellness,1.5,,,
Apple Watch Series 11,,549.0,1.5,1,Best for iPhone,1.5,,,,,,,
Garmin Venu 4,,699.99,1.5,1,Best fitness smartwatch,1.5,,,,,,,
Garmin Forerunner 970,,899.0,1.5,1,Best for runners,1.5,,,,,,,
Apple Watch Ultra 2,,1099.0,1.5,1,,,,,Best fitness tracker for outdoor enthusiasts,1.5,,,
HUAWEI Watch Ultimate 2,,,1.5,1,Best luxury,1.5,,,,,,,
Apple Watch Ultra 3,,1099.99,1.0,1,Honorable mention,1.0,,,,,,,
Garmin Fenix 8 AMOLED,,1449.99,1.0,1,Honorable mention,1.0,,,,,,,
HUAWEI Watch Fit 4 Pro,,,1.0,1,Honorable mention,1.0,,,,,,,
HUAWEI Watch GT 6 Pro,,,1.0,1,Honorable mention,1.0,,,,,,,
Polar Street X,,,1.0,1,,,,,,,Also tested,1.0,
