Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,America's Test Kitchen - Label,America's Test Kitchen - Points,CNN Underscored - Label,CNN Underscored - Points,Consumer Reports - Label,Consumer Reports - Points,Tom's Guide - Label,Tom's Guide - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Technivorm Moccamaster KBGV Select Coffee Brewer,Best Overall,476.0,4.0,2,,,Best drip coffee maker,2.0,,,Best overall,2.0,,,Highest weighted score (4.0 pts from 2 source(s)).
Technivorm Moccamaster Cup-One Coffee Brewer,Best Upgrade,344.0,2.5,2,,1.5,,,mention,1.0,,,,,Highest score above $300 (2.5 pts from 2 source(s)).
Breville Precision Brewer BDC450,,429.99,2.0,1,Runner-up,2.0,,,,,,,,,
OXO On 9-Cup Coffee Maker,,,2.0,1,,,,,,,,,Our Pick,2.0,
Cuisinart Coffee-on-Demand DCC-3000 Coffee Maker,,,2.0,1,,,,,top_pick,2.0,,,,,
Cuisinart DCC-3200P1 Perfectemp Coffee Maker,Best Budget,89.95,1.5,1,,1.5,,,,,,,,,Highest score under $150 (1.5 pts from 1 source(s)).
Melitta Aroma Fresh Plus 10-Cup Coffee Maker,,89.99,1.5,1,,,,,strong_pick,1.5,,,,,
Hamilton Beach Programmable 12-Cup Coffee Maker 49465R,,99.0,1.5,1,,,,,strong_pick,1.5,,,,,
Braun BrewSense Drip Coffee Maker KF7150BK,,99.99,1.5,1,,1.5,,,,,,,,,
Ninja 12-Cup Programmable Coffee Brewer,,99.99,1.5,1,,,Best budget drip coffee maker,1.5,,,,,,,
Haden 14-Cup Programmable Coffee Maker 75139,,109.99,1.5,1,,,,,strong_pick,1.5,,,,,
Mr. Coffee Optimal Brew Thermal Coffee Maker,,117.97,1.5,1,,1.5,,,,,,,,,
Bonavita Connoisseur BV1901TS Coffee Brewer,,256.99,1.5,1,,,,,,,,,Runner-up,1.5,
OXO Brew 8-Cup Coffee Maker,,270.56,1.5,1,,,,,,,Best budget drip,1.5,,,
Fellow Aiden Precision Coffee Maker,,499.0,1.5,1,,,Best programmable drip coffee maker,1.5,,,,,,,
Ratio Eight Series 2 Coffee Machine,,1150.0,1.5,1,,,Best premium drip coffee maker,1.5,,,,,,,
Instant Infusion Brew Plus 12-Cup Coffee Maker DCM-1100,,69.49,1.0,1,,,,,mention,1.0,,,,,
Braun PureFlavor 14-Cup Drip Coffee Maker KF5650BK,,89.95,1.0,1,,,,,mention,1.0,,,,,
Cuckoo Classic Drip Coffee Maker CCM-BD011B,,99.99,1.0,1,,,,,mention,1.0,,,,,
Shardor 10-Cup Programmable Coffee Maker CM1429TE-UL,,133.54,1.0,1,,,,,mention,1.0,,,,,
Krups Essential 8-Cup Coffee Brewer KM911,,199.99,1.0,1,,,,,mention,1.0,,,,,
Gevi 10-Cup Drip Coffee Maker with Grinder,,259.99,1.0,1,,,,,,,Mentioned,1.0,,,
Bunn HB Heat N Brew Programmable Coffee Maker,,381.51,1.0,1,,,,,mention,1.0,,,,,
GROSCHE Amsterdam Glass Pour Over Coffee Maker,Best Canadian Option,69.99,0,0,,,,,,,,,,,Canadian-owned brand (not reviewer-backed).
Ash Pour-Over Coffee Maker,,75.0,0,0,,,,,,,,,,,
Vida by PADERNO Colour Series Programmable Coffee Maker,,119.99,0,0,,,,,,,,,,,
The Total 1,,,0,0,,,,,,,,,,,
Salton Jumbo Java 14-Cup Drip Coffee Maker,,,0,0,,,,,,,,,,,
Jerdon CM-J21W-W 4 Cup Thermal Carafe Automatic Drip Coffee Machine,,,0,0,,,,,,,,,,,
