Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Consumer Reports - Label,Consumer Reports - Points,Electric Teeth - Label,Electric Teeth - Points,Reviewed - Label,Reviewed - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Philips Sonicare 4100 Series,Best Overall,119.99,4.0,3,Mentioned,1.0,Best Sonicare,1.5,,,"A quieter, vibrating brush with more expensive refills",1.5,Highest weighted score (4.0 pts from 3 source(s)).
Philips Sonicare DiamondClean 9900 Prestige,,,2.5,2,,,Best technology,1.5,Mentioned,1.0,,,
Philips Sonicare One,,,2.5,2,Mentioned,1.0,,,Best Value,1.5,,,
Oral-B Pro 1000,Best Budget,69.97,2.0,1,,,,,,,Best oscillating electric toothbrush,2.0,Highest score under $90 (2.0 pts from 1 source(s)).
SURI 2.0,Best For Specific Use Case,194.0,2.0,1,,,Editor's choice,2.0,,,,,Top for 'Editor's choice' (2.0 pts from 1 source(s)).
Oral-B Smart 5000,Best Upgrade,209.99,2.0,1,,,,,Best Overall,2.0,,,Highest score above $180 (2.0 pts from 1 source(s)).
Oral-B iO 3,,109.99,1.5,1,,,Best Oral-B,1.5,,,,,
Foreo Issa 3,,119.0,1.5,1,,,,,Unique Silicone Toothbrush,1.5,,,
Quip Electric Toothbrush,,129.99,1.5,1,,,,,Best Subscription,1.5,,,
Philips Sonicare For Kids Design-a-Pet Edition Power Toothbrush,,,1.5,1,,,,,,,Best kids electric toothbrush (also good for adults with sensitive teeth),1.5,
Hismile 41000ET,,28.97,1.0,1,Mentioned,1.0,,,,,,,
Oral-B Smart 1500,,43.99,1.0,1,,,Notable mention,1.0,,,,,
Oral-B Vitality,,47.99,1.0,1,,,,,Mentioned,1.0,,,
AquaSonic Black Series SCTB,,79.97,1.0,1,Mentioned,1.0,,,,,,,
Kingheroes C2-1,,79.99,1.0,1,Mentioned,1.0,,,,,,,
Oral-B iO 2,,89.99,1.0,1,Mentioned,1.0,,,,,,,
Colgate Hum,,99.99,1.0,1,,,,,Mentioned,1.0,,,
Quip 360 Oscillating,,234.62,1.0,1,Mentioned,1.0,,,,,,,
Oral-B iO 9,,379.97,1.0,1,,,,,Mentioned,1.0,,,
Philips Sonicare 3100 Series,,,1.0,1,Mentioned,1.0,,,,,,,
Philips Sonicare DiamondClean Smart 9300,,,1.0,1,Mentioned,1.0,,,,,,,
Vearthy Bamboo Sonic Electric Toothbrush,Best Canadian Option,89.99,0,0,,,,,,,,,Canadian-owned brand (not reviewer-backed).
dynasmile One,,139.99,0,0,,,,,,,,,
