Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,HouseFresh - Label,HouseFresh - Points,RTINGS - Label,RTINGS - Points,TechGearLab - Label,TechGearLab - Points,WIRED - Label,WIRED - Points,Why Picked
Corsi-Rosenthal Box,Best For Specific Use Case,269.99,3.0,3,Best you can build yourself,1.0,DIY Alternative,1.0,A DIY Air Purifier That Works,1.0,,,Top for 'Best you can build yourself' (3.0 pts from 3 source(s)).
Levoit Vital 200S,Best Overall,161.0,2.5,2,Best for most people,1.5,Notable Mention,1.0,,,,,Highest weighted score (2.5 pts from 2 source(s)).
NuWave OxyPure,,220.72,2.0,1,,,Best Air Purifier,2.0,,,,,
Blueair Blue Pure 311i Max,,,2.0,1,,,,,Best Overall Air Purifier,2.0,,,
Coway Airmega 100,,134.0,1.5,1,Best for small spaces,1.5,,,,,,,
Levoit Core 600S,,162.0,1.5,1,,,Best Upper Mid-Range Air Purifier,1.5,,,,,
Coway Airmega 200M,,439.99,1.5,1,,,Best Mid-Range Air Purifier,1.5,,,,,
Coway Airmega 350,,529.0,1.5,1,Best for medium spaces,1.5,,,,,,,
Coway Airmega 450,,646.0,1.5,1,,,,,,,Best Air Purifier for Odors,1.5,
Austin Air HealthMate,,780.0,1.5,1,Best for smoke and odors,1.5,,,,,,,
Coway Airmega Pro X,,1485.0,1.5,1,Best for large spaces,1.5,,,,,,,
IQAir Atem X,Best Upgrade,1951.0,1.5,1,,,,,,,Best Air Purifier Overall,1.5,Highest score above $400 (1.5 pts from 1 source(s)).
CleanAirKits Luggable XL Ultra,,,1.5,1,Best quiet,1.5,,,,,,,
Levoit Core Mini-P,Best Budget,74.98,1.0,1,,,,,Best Value Air Purifier for Small Spaces,1.0,,,Highest score under $150 (1.0 pts from 1 source(s)).
Levoit Core 300-P,,144.0,1.0,1,,,,,Best Bang for Your Buck,1.0,,,
Levoit Core 200S,,171.69,1.0,1,,,Best Budget Air Purifier,1.0,,,,,
Shark NeverChange,,329.99,1.0,1,,,,,Most Convenient Air Purifier,1.0,,,
Mila Air 3,,399.99,1.0,1,,,Notable Mention,1.0,,,,,
Blueair Pet Pro,,499.99,1.0,1,,,,,,,Recommended With Reservations,1.0,
Coway Airmega Mighty AP-1512HH,,,1.0,1,,,,,,,Best Affordable Air Purifier,1.0,
Brondell O2+ Horizon 5-Stage HEPA Air Purifier,,,1.0,1,,,,,,,Best Budget Small-Room Air Purifier,1.0,
Airpura V700,Best Canadian Option,1149.98,0,0,,,,,,,,,Made/assembled in Canada (not reviewer-backed).
