Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,BTOD - Label,BTOD - Points,ChairsFX - Label,ChairsFX - Points,Ergonomic Trends - Label,Ergonomic Trends - Points,Why Picked
Herman Miller Aeron Chair,Best Overall,2815.0,4.0,2,,,Best neutral posture support,2.0,Best Overall Office Chair,2.0,Highest weighted score (4.0 pts from 2 source(s)).
Secretlab Titan Evo 2022 Chair,,,2.5,2,,,Most versatile neutral posture support,1.0,Best Ergonomic Gaming Chair,1.5,
Staples Sorina Chair,,89.99,1.5,1,,,,,Runner’s Up for Best Executive Office Chair,1.5,
Chairman Ergonomic Drafting Chair,,134.0,1.5,1,,,,,Best Standing Desk and Drafting Chair,1.5,
HON Volt Task Chair (H5703.GA10.T),,339.79,1.5,1,,,,,Best Armless Office Chair,1.5,
Nouhaus Ergo3D Mesh Chair,Best Budget,399.99,1.5,1,,,,,Best Office Chair for Back and Neck Pain,1.5,Highest score under $400 (1.5 pts from 1 source(s)).
Duramont Executive Reclining Chair,,568.0,1.5,1,,,,,Best Reclining Office Chair,1.5,
Gates Leather Executive Chair,,729.0,1.5,1,,,,,Best Executive Office Chair,1.5,
Steelcase Gesture Chair,,900.0,1.5,1,,,Rank #3,1.5,,,
Oak Hollow Aloria Chair,,1272.72,1.5,1,,,,,Runner’s Up for Best Office Chair for Back and Neck Pain,1.5,
Sidiz T80 Chair,Best For Specific Use Case,1379.0,1.5,1,,,,,Runner’s Up for Best Office Chair,1.5,Top for 'Runner’s Up for Best Office Chair' (1.5 pts from 1 source(s)).
Herman Miller Embody Chair,Best Upgrade,2900.0,1.5,1,,,Rank #2,1.5,,,Highest score above $1000 (1.5 pts from 1 source(s)).
Sidiz T50 Chair,,,1.5,1,,,,,Best Fabric Office Chair,1.5,
Sihoo M57 Mesh Chair,,189.99,1.0,1,,,,,Best Budget Office Chair,1.0,
Staples Hyken Chair,,199.99,1.0,1,,,Best cheap ergonomic office chair,1.0,,,
Steelcase Series 1 Chair,,245.0,1.0,1,,,Best affordable ergonomic office chair,1.0,,,
Berlman Ergonomic High Back Mesh Chair,,330.0,1.0,1,,,,,Runner’s Up for Best Budget Office Chair,1.0,
Steelcase Leap Chair,,580.0,1.0,1,,,Rank #5,1.0,,,
BTOD Lamia Chair,,1099.99,1.0,1,S Tier,1.0,,,,,
Haworth Fern Chair,,1505.93,1.0,1,,,Rank #6,1.0,,,
Herman Miller Mirra 2 Chair,,2155.0,1.0,1,,,Rank #4,1.0,,,
Herman Miller Embody Gaming Chair,,2520.0,1.0,1,S Tier,1.0,,,,,
myCentric Office Chair,Best Canadian Option,843.15,0,0,,,,,,,Made/assembled in Canada (not reviewer-backed).
HAG Capisco 8106 Xtreme,,1251.99,0,0,,,,,,,
CXO 6200D,,1629.0,0,0,,,,,,,
Nuova Contessa Task Chair,,,0,0,,,,,,,
Equation Task Chair,,,0,0,,,,,,,
